CustomerID,CustomerName,Email,Phone,City,State,Gender,Age,SignupDate
1,Shanaya Khare,mbehl@gmail.com,+916757443684,Bengaluru,Maharashtra,Female,33,2023-11-19
2,Tejas Ahluwalia,rameshromil@hotmail.com,02070550461,Ahmedabad,Delhi,Male,61,2025-08-09
3,Ivan Dubey,arnav72@chokshi.com,7580089015,Kochi,Karnataka,Female,20,2024-03-22
4,Hansh Sankar,keyabhandari@hotmail.com,3232582944,Mumbai,Karnataka,Male,32,2023-06-16
5,Nitya Taneja,dharmajan83@sharma.net,00771430807,Kochi,West Bengal,Male,53,2023-02-28
6,Saanvi Chawla,yapte@yahoo.com,4250748582,Ahmedabad,Kerala,Female,32,2025-03-02
7,Badal Deep,sidhuoorja@jha.info,2143974439,Lucknow,West Bengal,Female,18,2024-01-03
8,Siya Khalsa,farhanvirk@gmail.com,+910089829977,Delhi,Rajasthan,Female,35,2024-03-02
9,Neysa Varma,vtata@dutt.org,+914894031481,Delhi,Gujarat,Female,24,2023-03-23
10,Ryan Shroff,biraarush@khanna.net,3411578356,Bengaluru,Rajasthan,Male,40,2023-09-17
11,Devansh Sridhar,hsinghal@tiwari.com,+911173567184,Hyderabad,West Bengal,Female,20,2024-08-09
12,Madhav Sami,borraadvik@yahoo.com,+915899281390,Lucknow,Kerala,Male,42,2025-08-05
13,Kartik Bhatia,wbhavsar@walia.org,1404103104,Bengaluru,Kerala,Female,58,2025-02-19
14,Mannat Manne,bbains@hotmail.com,06059370557,Kolkata,Telangana,Male,63,2024-10-27
15,Saksham Handa,ira29@gmail.com,3025227376,Bengaluru,Maharashtra,Male,36,2025-09-07
16,Pranay Ahluwalia,kavya02@yahoo.com,7321740815,Bengaluru,Gujarat,Male,42,2024-09-23
17,Gatik Master,kabirwarrior@goyal.com,0921652952,Chennai,UP,Female,28,2024-07-28
18,Saira Rau,shankeramira@yahoo.com,3462301538,Hyderabad,Telangana,Male,60,2025-07-30
19,Vanya Bahl,advik87@sekhon.com,3928712037,Chennai,Karnataka,Male,52,2024-02-28
20,Zeeshan Gala,jainbadal@yahoo.com,+913961165654,Ahmedabad,Delhi,Female,42,2023-05-19
21,Nehmat Batra,tusharvig@rana-viswanathan.com,06956659554,Chennai,Kerala,Male,61,2024-09-29
22,Saanvi Sem,nirvaan08@gmail.com,1359628333,Hyderabad,Maharashtra,Male,20,2025-03-12
23,Ishaan Ben,chanarasha@dubey.com,+917043937342,Hyderabad,Rajasthan,Female,22,2023-05-23
24,Devansh Suri,vvarughese@gmail.com,03664476540,Ahmedabad,West Bengal,Female,31,2025-04-29
25,Mamooty Bhargava,ihanda@hotmail.com,+915595480955,Lucknow,Rajasthan,Female,27,2025-04-05
26,Fateh Bhatnagar,kiara78@raval.org,+919902440758,Chennai,Delhi,Male,65,2023-11-11
27,Bhamini Grewal,aniruddhdoshi@behl-vaidya.com,+917192456323,Kochi,Kerala,Female,65,2024-04-24
28,Shanaya Deshmukh,ysane@yahoo.com,+915932915102,Kolkata,Rajasthan,Female,41,2024-11-23
29,Neysa Kale,rhea34@iyer.com,02956889680,Ahmedabad,Delhi,Female,23,2023-02-23
30,Dhanush Golla,mahikatiwari@thaman-mahajan.biz,8637159226,Mumbai,Karnataka,Male,58,2023-06-08
31,Sumer Bal,cmahajan@bhatia.com,08838713986,Delhi,Rajasthan,Male,42,2023-05-16
32,Arhaan Wali,prishalata@hotmail.com,00023819917,Jaipur,West Bengal,Female,51,2025-09-28
33,Gatik Date,vanyavenkatesh@yahoo.com,+911169922237,Chennai,Kerala,Male,61,2026-01-31
34,Ela Ahuja,pramaswamy@sundaram.com,+915615933833,Bengaluru,Kerala,Female,59,2025-05-17
35,Zara Handa,ehsaan84@dube.com,1950125404,Hyderabad,Karnataka,Female,45,2023-04-17
36,Ira Ben,jhaverimehul@mallick.info,+919175387235,Delhi,UP,Male,64,2024-10-18
37,Nehmat Bhakta,bhavin01@dewan.biz,+914211491962,Chennai,Kerala,Male,50,2023-04-25
38,Jivin Ahuja,farhan23@yahoo.com,03754109086,Bengaluru,Tamil Nadu,Male,27,2025-07-01
39,Zoya Upadhyay,ydhar@mannan-vaidya.com,03970183135,Hyderabad,Delhi,Male,56,2024-09-29
40,Nitya Kale,shettynakul@ganesh.com,2697852922,Hyderabad,UP,Male,25,2025-01-01
41,Jayan Lall,bhallapriyansh@hotmail.com,02726293290,Hyderabad,Tamil Nadu,Male,21,2024-10-08
42,Nehmat Bhandari,dthaker@hotmail.com,09820696965,Ahmedabad,West Bengal,Male,23,2024-02-07
43,Dharmajan Dugar,ehsaanchatterjee@hotmail.com,00052505230,Lucknow,Karnataka,Male,26,2024-07-08
44,Darshit Mannan,nandra@gmail.com,+911386753886,Lucknow,Kerala,Male,34,2025-03-28
45,Anay Bawa,nitara99@yadav-batra.biz,9318273968,Kochi,West Bengal,Female,31,2024-10-29
46,Mamooty Shroff,parinaazsaxena@desai.com,+910429605836,Kochi,Gujarat,Female,43,2023-04-15
47,Anahita Roy,watwal@kapoor.com,07218054972,Hyderabad,UP,Female,25,2024-05-26
48,Gokul Shankar,xwable@yahoo.com,01924761594,Ahmedabad,Gujarat,Male,39,2024-03-12
49,Ela Venkataraman,amira03@trivedi-johal.com,+911969953198,Mumbai,West Bengal,Male,55,2024-08-21
50,Raunak Tara,bhavinamble@sekhon.org,9477211828,Ahmedabad,Maharashtra,Male,63,2025-09-11
51,Vedika Mallick,johalcharvi@yahoo.com,6228182986,Mumbai,Gujarat,Male,20,2024-07-26
52,Oorja Das,abram92@venkatesh-chana.com,05139784117,Hyderabad,Karnataka,Male,35,2023-12-04
53,Diya Kara,graju@gera.biz,+912573604378,Lucknow,Gujarat,Male,64,2023-11-24
54,Shlok Bakshi,mamooty74@kurian.org,8406172527,Kolkata,West Bengal,Female,33,2025-08-30
55,Anahita Bora,jhanvi90@gmail.com,7395826461,Lucknow,Rajasthan,Male,24,2023-11-04
56,Nehmat Bhakta,hunar26@chokshi-badami.com,04767611145,Bengaluru,Rajasthan,Female,45,2024-08-19
57,Yakshit Sahni,amanitaneja@swaminathan-tata.com,0949494979,Jaipur,UP,Male,61,2025-01-18
58,Amira Bhandari,wghose@ravi-khalsa.biz,02257359101,Bengaluru,Maharashtra,Female,64,2024-07-09
59,Mamooty Mane,sastryvivaan@mallick-jain.com,03595063673,Hyderabad,Karnataka,Male,30,2024-04-21
60,Dhanush Kapadia,aradhyachaudry@bath-balasubramanian.com,09675365887,Ahmedabad,Kerala,Female,26,2025-09-21
61,Manikya Borde,sethadah@rout.org,8359979962,Jaipur,Delhi,Female,47,2023-09-24
62,Arnav Verma,misha87@shankar.org,9268974929,Ahmedabad,Karnataka,Female,53,2024-06-15
63,Inaaya  Som,ahluwalianakul@gmail.com,01146289150,Bengaluru,Maharashtra,Male,23,2025-09-04
64,Nakul Lala,zara09@gmail.com,+913002727803,Ahmedabad,Delhi,Female,49,2024-11-03
65,Stuvan Sagar,khoslatushar@yahoo.com,+919501377448,Lucknow,Gujarat,Female,21,2024-09-17
66,Samar Dara,aaina86@sagar.net,0557052128,Delhi,Rajasthan,Male,42,2025-11-17
67,Zoya Jayaraman,vvarkey@hotmail.com,+917540567442,Chennai,UP,Female,45,2024-08-02
68,Dharmajan Chanda,nakulbrahmbhatt@bassi-jaggi.com,0958715034,Kochi,UP,Male,30,2024-12-12
69,Yuvaan Mander,egola@yahoo.com,08630102916,Chennai,Gujarat,Male,55,2023-03-20
70,Advika Bakshi,ehsaan26@yahoo.com,+916659710227,Kochi,Maharashtra,Female,21,2023-10-22
71,Raunak Lad,yuvaan92@choudhury-wali.org,+914172052887,Mumbai,West Bengal,Female,50,2023-06-28
72,Advika Virk,aainayohannan@yahoo.com,+913702855086,Kochi,Delhi,Male,50,2023-10-26
73,Nehmat Sundaram,tejastank@yahoo.com,+917856432437,Bengaluru,Delhi,Male,56,2025-11-25
74,Diya Setty,onkar92@yahoo.com,0084961329,Bengaluru,Gujarat,Female,25,2024-02-06
75,Kaira Rama,vermarhea@gmail.com,09995061011,Kolkata,Gujarat,Male,57,2025-05-08
